customer_id,amount,payment_method,failure_reason,previous_payments,previous_successes,previous_failures,previous_recovery,customer_tenure_months,average_payment_amount,retry_count,intervention,recovery_outcome
C10000,5951.63,UPI,Insufficient Funds,16,1,15,Yes,36,8263.66,0,Payment Link,Not Recovered
C10001,3581.15,UPI,Temporary Failure,2,2,0,Yes,9,2237.48,1,Retry,Recovered
C10002,6715.68,Card,Authentication Failure,16,4,12,No,30,7812.46,3,No Action,Recovered
C10003,13527.41,UPI,Insufficient Funds,16,14,2,No,27,8403.01,2,No Action,Not Recovered
C10004,3316.7,UPI,Insufficient Funds,11,11,0,No,13,3925.32,1,Payment Link,Not Recovered
C10005,3316.75,Card,Temporary Failure,1,1,0,Yes,28,3013.86,2,No Action,Recovered
C10006,14149.29,Card,Insufficient Funds,15,14,1,No,18,15409.23,1,Payment Link,Recovered
C10007,7390.85,NetBanking,Authentication Failure,4,2,2,No,34,6264.71,1,No Action,Not Recovered
C10008,2747.56,UPI,Insufficient Funds,18,8,10,No,21,1998.26,1,Payment Link,Not Recovered
C10009,6173.97,UPI,Authentication Failure,17,7,10,No,1,7277.94,0,No Action,Not Recovered
C10010,2760.91,UPI,Authentication Failure,7,3,4,Yes,23,3654.61,3,No Action,Not Recovered
C10011,2755.81,Wallet,Temporary Failure,18,2,16,No,34,2058.22,0,No Action,Not Recovered
C10012,4854.3,Card,Temporary Failure,13,4,9,Yes,36,6488.07,0,No Action,Recovered
C10013,865.6,Card,Authentication Failure,20,14,6,Yes,9,616.43,0,Reminder,Recovered
C10014,1006.38,UPI,Insufficient Funds,20,7,13,No,8,1196.11,1,Payment Link,Not Recovered
C10015,2550.95,Card,Temporary Failure,10,9,1,Yes,30,3488.57,1,Retry,Recovered
C10016,1778.96,UPI,Temporary Failure,1,1,0,No,36,1277.11,2,No Action,Not Recovered
C10017,5143.29,Card,Bank Declined,2,2,0,Yes,36,4876.21,3,No Action,Recovered
C10018,1934.55,Wallet,Technical Error,17,16,1,No,18,1682.99,0,Retry,Not Recovered
C10019,1292.34,Wallet,Temporary Failure,3,3,0,Yes,2,1177.04,0,Retry,Recovered
C10020,12920.48,Card,Temporary Failure,17,17,0,Yes,11,15537.03,0,Retry,Recovered
C10021,3339.01,Card,Authentication Failure,12,1,11,Yes,36,3769.58,3,No Action,Not Recovered
C10022,4222.03,Wallet,Technical Error,12,12,0,No,31,5805.08,3,No Action,Recovered
C10023,1279.53,Card,Bank Declined,20,14,6,Yes,31,957.58,3,No Action,Recovered
C10024,2587.75,UPI,Technical Error,10,6,4,No,24,2677.31,0,Reminder,Recovered
C10025,4371.18,Card,Insufficient Funds,7,3,4,Yes,21,4193.28,3,No Action,Recovered
C10026,1592.81,UPI,Technical Error,10,2,8,No,32,2126.54,0,No Action,Not Recovered
C10027,5402.45,Card,Insufficient Funds,18,18,0,Yes,30,3287.37,0,Payment Link,Recovered
C10028,2473.87,Card,Temporary Failure,6,6,0,Yes,8,3441.99,3,No Action,Recovered
C10029,3167.49,Card,Technical Error,7,7,0,Yes,33,3116.14,1,Retry,Recovered
C10030,2471.76,UPI,Insufficient Funds,17,16,1,Yes,1,2720.0,0,Payment Link,Recovered
C10031,17603.84,UPI,Authentication Failure,12,0,12,No,33,15632.95,0,No Action,Not Recovered
C10032,3957.04,Card,Insufficient Funds,17,10,7,No,13,5073.01,1,Payment Link,Recovered
C10033,1716.22,NetBanking,Authentication Failure,18,5,13,Yes,22,1801.33,3,No Action,Recovered
C10034,7723.98,Card,Authentication Failure,14,6,8,No,5,8730.02,2,No Action,Not Recovered
C10035,1506.24,UPI,Temporary Failure,11,8,3,Yes,12,1685.67,1,Retry,Not Recovered
C10036,4727.45,Wallet,Technical Error,2,1,1,No,29,4213.04,3,No Action,Not Recovered
C10037,834.07,Wallet,Insufficient Funds,1,1,0,No,3,551.15,0,Payment Link,Not Recovered
