customer_id,amount,recommended_action,recovery_probability,expected_revenue,net_expected_revenue,human_approval,reason,recovery_reasons
C10000,5951.63,Reminder,0.32841981707045687,1954.6332358710433,1949.6332358710433,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10001,3581.15,Retry,0.901694008470504,3229.1014984341455,2962.7733785594137,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'High predicted recovery probability']"
C10002,6715.68,No Action,0.0,0.0,0.0,False,No safe recovery action meets the minimum threshold.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10003,13527.41,Reminder,0.5239916076595742,7088.249313370201,5949.129423230968,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10004,3316.7,Reminder,0.5195209864395144,1723.0952557239373,1580.2476352660224,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10005,3316.75,Reminder,0.8246365850259569,2735.1133933848428,2292.4952504432677,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'High predicted recovery probability', 'Recovery fatigue limit reached']"
C10006,14149.29,Reminder,0.5427423507274415,7679.418915724281,7060.065402466338,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10007,7390.85,Retry,0.5858976985339877,4330.282005209923,3975.8594447931296,False,Highest net expected recovery within policy constraints.,"['Authentication failure detected', 'Low predicted recovery probability']"
C10008,2747.56,No Action,0.0,0.0,0.0,False,No safe recovery action meets the minimum threshold.,"['Weak previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10009,6173.97,Retry,0.4808174031672988,2968.552222632808,2960.552222632808,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability']"
C10010,2760.91,Reminder,0.6578868807541373,1816.366467942905,1375.438515636608,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10011,2755.81,Retry,0.5295797303019179,1459.4211165633283,1451.4211165633283,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10012,4854.3,Retry,0.8367488896714539,4061.830135132139,4053.830135132139,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10013,865.6,Retry,0.8448907179189582,731.3374054306503,723.3374054306503,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Authentication failure detected', 'High predicted recovery probability']"
C10014,1006.38,No Action,0.0,0.0,0.0,False,No safe recovery action meets the minimum threshold.,"['Weak previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10015,2550.95,Retry,0.9311236100554754,2375.2497730710147,2177.2297912253334,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10016,1778.96,Reminder,0.6469317441214406,1150.865695522278,961.7271842387136,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10017,5143.29,Reminder,0.6443863425371508,3314.265831707902,2513.842032098006,False,Highest net expected recovery within policy constraints.,"['Bank decline detected', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10018,1934.55,Retry,0.8875644867919401,1717.0378779233477,1709.0378779233477,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10019,1292.34,Retry,0.9262917890042208,1197.0839306017147,1189.0839306017147,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'High predicted recovery probability']"
C10020,12920.48,Retry,0.9609348224050149,12415.739154187548,12407.739154187548,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10021,3339.01,Reminder,0.46893864712688144,1565.7908321431285,1185.0010324287778,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10022,4222.03,Reminder,0.7874945244902253,3324.8255072334655,2521.867385497434,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10023,1279.53,Reminder,0.6854745383380778,877.0852360397207,661.5847793901878,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Bank decline detected', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10024,2587.75,Retry,0.7199641736838722,1863.0872904504404,1855.0872904504404,False,Highest net expected recovery within policy constraints.,"['Moderate previous payment history', 'Failure appears potentially recoverable', 'Moderate predicted recovery probability']"
C10025,4371.18,Reminder,0.5387146469071666,2354.818690267669,1784.6622046034286,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10026,1592.81,Retry,0.5903033544653785,940.2410860259995,932.2410860259995,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10027,5402.45,Reminder,0.8271889235256014,4468.846799900885,4463.846799900885,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Insufficient funds detected', 'High predicted recovery probability']"
C10028,2473.87,Reminder,0.8538616900670392,2112.342819206146,1600.380542596671,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability', 'Recovery fatigue limit reached']"
C10029,3167.49,Retry,0.9127172845810034,2891.0228717374825,2651.741041998484,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10030,2471.76,Reminder,0.7884487384461667,1948.8560537416972,1943.8560537416972,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Insufficient funds detected', 'Moderate predicted recovery probability']"
C10031,17603.84,Retry,0.3638717397520589,6405.5398871168845,6397.5398871168845,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability']"
C10032,3957.04,Reminder,0.33614435449849267,1330.1366565247154,1218.7257240027382,False,Highest net expected recovery within policy constraints.,"['Moderate previous payment history', 'Insufficient funds detected', 'Low predicted recovery probability']"
C10033,1716.22,Reminder,0.47068165538505086,807.793270604932,608.9228856597483,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10034,7723.98,Reminder,0.34092109341931714,2633.267707148937,2206.944874005107,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10035,1506.24,Retry,0.9126946724976163,1374.7372235028095,1256.7582456225846,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10036,4727.45,Reminder,0.6212761734178022,2937.0520460239886,2227.1595549782314,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10037,834.07,Reminder,0.41611254559419325,347.0669909037488,342.0669909037488,False,Highest net expected recovery within policy constraints.,"['Insufficient funds detected', 'Low predicted recovery probability']"
C10038,1382.3,Retry,0.5623025341960999,777.2707930192688,707.0891295777272,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Authentication failure detected', 'Low predicted recovery probability']"
C10039,4682.27,Reminder,0.38151245340124496,1786.3443151870474,1781.3443151870474,False,Highest net expected recovery within policy constraints.,"['Insufficient funds detected', 'Low predicted recovery probability']"
C10040,7221.54,Retry,0.9097519358992845,6569.809995174119,6036.22519556019,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10041,4587.75,Reminder,0.5027556788522519,2306.517365654419,1932.4745871497119,False,Highest net expected recovery within policy constraints.,"['Insufficient funds detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10042,3646.53,Retry,0.5192304508589728,1893.3894159707702,1885.3894159707702,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10043,3143.73,Reminder,0.5836283258832042,1834.7698769288056,1389.4251064658922,False,Highest net expected recovery within policy constraints.,"['Failure appears potentially recoverable', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10044,1225.66,Reminder,0.6515882641151621,798.6256717953896,729.7356180517585,False,Highest net expected recovery within policy constraints.,"['Moderate previous payment history', 'Insufficient funds detected', 'Moderate predicted recovery probability']"
C10045,2248.85,Retry,0.5214624635513035,1172.690861157349,1070.875592264761,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10046,2767.05,No Action,0.0,0.0,0.0,False,No safe recovery action meets the minimum threshold.,"['Weak previous payment history', 'Bank decline detected', 'Low predicted recovery probability']"
C10047,9318.41,Retry,0.49277644139453625,4591.8929192552605,4583.8929192552605,False,Highest net expected recovery within policy constraints.,"['Bank decline detected', 'Low predicted recovery probability']"
C10048,5265.57,Reminder,0.553823140308822,2916.1945129159235,2211.3078298161017,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10049,976.15,Reminder,0.3107793082775822,303.36722177516185,274.09784403314893,False,Highest net expected recovery within policy constraints.,"['Insufficient funds detected', 'Low predicted recovery probability']"
C10050,5183.92,Retry,0.5805871505691996,3009.7173415786856,3001.7173415786856,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10051,2939.47,Retry,0.7780194990197907,2286.964976783704,2278.964976783704,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Moderate predicted recovery probability']"
C10052,2327.41,Reminder,0.7290451926954724,1696.7870719313694,1420.3011404223503,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Authentication failure detected', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10053,6524.96,Reminder,0.34107389473680283,2225.493520201849,1686.3750753534055,False,Highest net expected recovery within policy constraints.,"['Insufficient funds detected', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
C10054,9125.69,Reminder,0.6333664540697205,5779.905916239508,4850.120969641187,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Moderate predicted recovery probability', 'Recovery fatigue limit reached']"
C10055,8425.97,Retry,0.3740370907857609,3151.6253058480975,2891.4952813802497,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability']"
C10056,2044.02,Retry,0.3717125328991542,759.7878514965291,751.7878514965291,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Bank decline detected', 'Low predicted recovery probability']"
C10057,3123.41,Retry,0.8366205213779357,2613.1089026770583,2396.060190462894,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Bank decline detected', 'High predicted recovery probability']"
C10058,5213.78,Retry,0.7182690829492377,3744.8969792990765,3736.8969792990765,False,Highest net expected recovery within policy constraints.,"['Weak previous payment history', 'Failure appears potentially recoverable', 'Moderate predicted recovery probability']"
C10059,8729.7,Retry,0.9452303142444451,8251.577074259734,8243.577074259734,False,Highest net expected recovery within policy constraints.,"['Strong previous payment history', 'Failure appears potentially recoverable', 'High predicted recovery probability']"
C10060,2726.33,Reminder,0.49968102022574,1362.2953558720417,1030.3444704627518,False,Highest net expected recovery within policy constraints.,"['Moderate previous payment history', 'Failure appears potentially recoverable', 'Low predicted recovery probability', 'Recovery fatigue limit reached']"
